module,file_path,candidate_function_count,priority_high_count,priority_mid_count,priority_low_count,status,has_bench,has_unit_test
features,features/include/pcl/features/impl/moment_of_inertia_estimation.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/multiscale_feature_persistence.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/narf.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/normal_3d.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/normal_3d_omp.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/normal_based_signature.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/organized_edge_detection.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/our_cvfh.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/pfh.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/pfhrgb.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/ppf.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/ppfrgb.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/principal_curvatures.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/range_image_border_extractor.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/rift.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/rops_estimation.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/rsd.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/shot.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/shot_lrf.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/shot_lrf_omp.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/shot_omp.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/spin_image.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/statistical_multiscale_interest_region_extraction.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/usc.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/impl/vfh.hpp,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/integral_image2D.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/integral_image_normal.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/intensity_gradient.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/intensity_spin.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/linear_least_squares_normal.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/moment_invariants.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/moment_of_inertia_estimation.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/multiscale_feature_persistence.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/narf.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/narf_descriptor.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/normal_3d.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/normal_3d_omp.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/normal_based_signature.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/organized_edge_detection.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/our_cvfh.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/pfh.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/pfh_tools.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/pfhrgb.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/ppf.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/ppfrgb.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/principal_curvatures.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/range_image_border_extractor.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/rift.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/rops_estimation.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/rsd.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/shot.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/shot_lrf.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/shot_lrf_omp.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/shot_omp.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/spin_image.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/statistical_multiscale_interest_region_extraction.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/usc.h,0,0,0,0,unassessed,no,no
features,features/include/pcl/features/vfh.h,0,0,0,0,unassessed,no,no
features,features/src/3dsc.cpp,0,0,0,0,unassessed,no,no
features,features/src/board.cpp,0,0,0,0,unassessed,no,no
features,features/src/boundary.cpp,0,0,0,0,unassessed,no,no
features,features/src/brisk_2d.cpp,0,0,0,0,unassessed,no,no
features,features/src/cppf.cpp,0,0,0,0,unassessed,no,no
features,features/src/crh.cpp,0,0,0,0,unassessed,no,no
features,features/src/cvfh.cpp,0,0,0,0,unassessed,no,no
features,features/src/don.cpp,0,0,0,0,unassessed,no,no
features,features/src/esf.cpp,0,0,0,0,unassessed,no,no
features,features/src/flare.cpp,0,0,0,0,unassessed,no,no
features,features/src/fpfh.cpp,0,0,0,0,unassessed,no,no
features,features/src/from_meshes.cpp,0,0,0,0,unassessed,no,no
features,features/src/gasd.cpp,0,0,0,0,unassessed,no,no
features,features/src/gfpfh.cpp,0,0,0,0,unassessed,no,no
features,features/src/grsd.cpp,0,0,0,0,unassessed,no,no
features,features/src/integral_image_normal.cpp,0,0,0,0,unassessed,no,no
features,features/src/intensity_gradient.cpp,0,0,0,0,unassessed,no,no
features,features/src/intensity_spin.cpp,0,0,0,0,unassessed,no,no
